This file contains receptor locations
X_coordinate  Y_Coordinate  Z_Coordinate
----------------------------------------------
645675.000 4958525.000 1.500
645700.000 4958525.000 1.500
645725.000 4958525.000 1.500
645750.000 4958525.000 1.500
645775.000 4958525.000 1.500
645800.000 4958525.000 1.500
645650.000 4958500.000 1.500
645675.000 4958500.000 1.500
645700.000 4958500.000 1.500
645725.000 4958500.000 1.500
645750.000 4958500.000 1.500
645775.000 4958500.000 1.500
645800.000 4958500.000 1.500
645825.000 4958500.000 1.500
645850.000 4958500.000 1.500
645875.000 4958500.000 1.500
645900.000 4958500.000 1.500
645925.000 4958500.000 1.500
645950.000 4958500.000 1.500
645975.000 4958500.000 1.500
646000.000 4958500.000 1.500
646025.000 4958500.000 1.500
646050.000 4958500.000 1.500
646075.000 4958500.000 1.500
646100.000 4958500.000 1.500
645650.000 4958475.000 1.500
645675.000 4958475.000 1.500
645700.000 4958475.000 1.500
645725.000 4958475.000 1.500
645750.000 4958475.000 1.500
645775.000 4958475.000 1.500
645800.000 4958475.000 1.500
645825.000 4958475.000 1.500
645850.000 4958475.000 1.500
645875.000 4958475.000 1.500
645900.000 4958475.000 1.500
645925.000 4958475.000 1.500
645950.000 4958475.000 1.500
645975.000 4958475.000 1.500
646000.000 4958475.000 1.500
646025.000 4958475.000 1.500
646050.000 4958475.000 1.500
646075.000 4958475.000 1.500
646100.000 4958475.000 1.500
646125.000 4958475.000 1.500
646150.000 4958475.000 1.500
646175.000 4958475.000 1.500
646200.000 4958475.000 1.500
646225.000 4958475.000 1.500
645650.000 4958450.000 1.500
645675.000 4958450.000 1.500
645700.000 4958450.000 1.500
645725.000 4958450.000 1.500
645750.000 4958450.000 1.500
645775.000 4958450.000 1.500
645800.000 4958450.000 1.500
645825.000 4958450.000 1.500
645850.000 4958450.000 1.500
645875.000 4958450.000 1.500
645900.000 4958450.000 1.500
645925.000 4958450.000 1.500
645950.000 4958450.000 1.500
645975.000 4958450.000 1.500
646000.000 4958450.000 1.500
646025.000 4958450.000 1.500
646050.000 4958450.000 1.500
646075.000 4958450.000 1.500
646100.000 4958450.000 1.500
646125.000 4958450.000 1.500
646150.000 4958450.000 1.500
646175.000 4958450.000 1.500
646200.000 4958450.000 1.500
646225.000 4958450.000 1.500
645650.000 4958425.000 1.500
645675.000 4958425.000 1.500
645700.000 4958425.000 1.500
645725.000 4958425.000 1.500
645750.000 4958425.000 1.500
645775.000 4958425.000 1.500
645800.000 4958425.000 1.500
645825.000 4958425.000 1.500
645850.000 4958425.000 1.500
645875.000 4958425.000 1.500
645900.000 4958425.000 1.500
645925.000 4958425.000 1.500
645950.000 4958425.000 1.500
645975.000 4958425.000 1.500
646000.000 4958425.000 1.500
646025.000 4958425.000 1.500
646050.000 4958425.000 1.500
646075.000 4958425.000 1.500
646100.000 4958425.000 1.500
646125.000 4958425.000 1.500
646150.000 4958425.000 1.500
646175.000 4958425.000 1.500
646200.000 4958425.000 1.500
646225.000 4958425.000 1.500
645650.000 4958400.000 1.500
